date,pm25_kor_df,pm10_kor_df,o3_kor_df,no2_kor_df,so2_kor_df,co_kor_df,pm25_china_df,pm10_china_df,o3_china_df,no2_china_df,so2_china_df,co_china_df,Wind Speed(m/s),Humidity(%)
2016-07-01,48.88235294117647,21.647058823529413,33.94117647058823,19.0,8.058823529411764,3.9411764705882355,90.84210526315789,43.578947368421055,49.31578947368421,15.789473684210526,6.0,9.0,3.3368421052631576,90.63684210526316
2016-07-02,39.11764705882353,33.588235294117645,41.1764705882353,20.470588235294116,8.588235294117647,5.0,88.47368421052632,49.05263157894737,48.8421052631579,16.94736842105263,6.157894736842105,9.631578947368421,2.705263157894737,89.68947368421053
2016-07-03,73.76470588235294,29.470588235294116,24.470588235294116,28.529411764705884,8.470588235294118,5.0588235294117645,94.47368421052632,45.94736842105263,50.78947368421053,14.0,6.052631578947368,8.894736842105264,1.5842105263157895,87.6263157894737
2016-07-04,66.46666666666667,25.533333333333335,22.866666666666667,19.866666666666667,8.733333333333333,4.466666666666667,88.78947368421052,44.421052631578945,46.05263157894737,12.947368421052632,6.0,7.7894736842105265,2.4842105263157896,94.16842105263159
2016-07-05,47.6875,24.8125,27.6875,22.625,9.0625,4.375,84.36842105263158,48.10526315789474,45.94736842105263,13.105263157894736,6.2631578947368425,7.7368421052631575,3.5105263157894737,92.6842105263158
2016-07-06,46.88235294117647,35.470588235294116,36.35294117647059,30.058823529411764,11.882352941176471,5.352941176470588,93.05263157894737,56.36842105263158,48.26315789473684,13.526315789473685,7.0,8.210526315789474,2.0894736842105264,91.09473684210526
2016-07-07,69.17647058823529,44.1764705882353,50.8235294117647,34.1764705882353,10.882352941176471,6.117647058823529,102.84210526315789,54.68421052631579,49.26315789473684,14.947368421052632,6.421052631578948,8.578947368421053,1.4789473684210528,87.37894736842105
2016-07-08,86.6470588235294,43.76470588235294,51.64705882352941,29.294117647058822,11.294117647058824,6.764705882352941,106.78947368421052,52.421052631578945,51.63157894736842,15.105263157894736,6.105263157894737,8.421052631578947,1.631578947368421,81.3736842105263
2016-07-09,86.05882352941177,38.705882352941174,57.11764705882353,27.176470588235293,11.882352941176471,5.764705882352941,103.42105263157895,57.73684210526316,55.473684210526315,17.05263157894737,6.105263157894737,9.052631578947368,1.6210526315789473,80.24736842105263
2016-07-10,77.94117647058823,45.05882352941177,49.76470588235294,36.411764705882355,13.647058823529411,6.352941176470588,106.70588235294117,51.411764705882355,36.35294117647059,19.352941176470587,6.294117647058823,9.352941176470589,1.5105263157894737,81.26315789473684
2016-07-11,91.76470588235294,35.588235294117645,37.411764705882355,27.58823529411765,12.058823529411764,5.0588235294117645,93.52631578947368,45.421052631578945,51.473684210526315,16.105263157894736,7.2631578947368425,8.736842105263158,1.394736842105263,83.4421052631579
2016-07-12,76.3125,36.125,38.3125,29.1875,11.125,5.3125,91.0,52.21052631578947,61.89473684210526,15.578947368421053,7.105263157894737,8.947368421052632,1.7210526315789476,88.4578947368421
2016-07-13,72.0,34.8125,45.125,26.3125,8.0625,5.5,102.57894736842105,63.68421052631579,74.26315789473684,17.473684210526315,7.315789473684211,10.368421052631579,1.8157894736842106,84.77368421052631
2016-07-14,69.58823529411765,28.11764705882353,37.23529411764706,26.352941176470587,7.588235294117647,4.823529411764706,122.63157894736842,61.89473684210526,56.10526315789474,16.57894736842105,7.0,9.736842105263158,2.236842105263158,79.43157894736842
2016-07-15,52.333333333333336,22.133333333333333,26.933333333333334,21.666666666666668,7.0,4.933333333333334,119.42105263157895,54.21052631578947,46.68421052631579,14.157894736842104,5.894736842105263,8.421052631578947,2.668421052631579,76.52631578947368
