date, pm10, o3, no2, so2, co
2015/11/24, 231, 3, 35, 49, 14
2015/11/25, 142, 3, 43, 54, 26
2015/11/26, 169, 1, 38, 58, 20
2015/11/27, 265, 4, 31, 40, 16
2015/11/28, 87, 8, , 27, 18
2015/11/29, 108, 4, , 47, 12
2015/11/30, 220, 9, 23, 20, 
2015/12/1, 72, 15, 14, 15, 
2015/12/2, 72, 9, 27, 25, 39
2015/12/3, 122, 6, 38, 40, 50
2015/12/4, 376, 4, 34, 47, 41
2015/12/5, 389, 5, 36, 50, 45
2015/12/6, 418, 3, 36, 51, 36
2015/12/7, 342, 4, 31, 36, 18
2015/12/8, 154, 4, 37, 39, 
2015/12/9, 272, 7, 26, 44, 
2015/12/10, 351, 9, 33, 33, 
2015/12/11, 195, 8, 38, 50, 
2015/12/12, 353, 6, 26, 30, 
2015/12/13, 139, 12, 24, 25, 
2015/12/14, 92, 16, 22, 24, 
2015/12/15, 100, 9, 38, 49, 
2015/12/16, 328, 11, 45, 63, 
2015/12/17, 673, 7, 40, 56, 
2015/12/18, 432, 7, 43, 63, 
2015/12/19, 605, , 44, , 
2015/12/20, 541, 4, 18, 21, 8
2015/12/21, 57, 3, 30, 54, 
2015/12/22, 237, , 31, , 
2015/12/23, 127, 1, 37, 63, 
2015/12/24, 300, 1, 45, 76, 17
2015/12/25, 576, 1, 35, 65, 17
2015/12/26, 386, 1, 32, 56, 20
2015/12/27, 440, 1, 35, 64, 7
2015/12/28, 436, 1, 34, 59, 
2015/12/29, 362, 2, 26, 39, 
2015/12/30, 124, , , , 
2016/1/3, 103, 4, 24, 31, 
2015/7/1, 69, , , , 
2015/7/5, 36, 32, , 8, 9
2015/7/6, 28, 20, 13, 3, 6
2015/7/7, 73, 31, 9, 1, 2
2015/7/8, 38, 33, 13, 2, 1
2015/7/9, 60, 36, 9, 2, 1
2015/7/10, 66, 38, 10, 4, 
2015/7/11, 60, 62, 6, 1, 
2015/7/12, 86, 31, 5, 1, 
2015/7/13, 27, 32, 6, 1, 
2015/7/14, 74, 30, 6, 1, 
2015/7/15, 124, 19, 8, 1, 
2015/7/16, 61, 25, 11, , 1
2015/7/17, 22, 9, 9, , 1
2015/7/18, 26, 12, 9, , 1
2015/7/19, 18, 11, 13, , 1
2015/7/20, 24, 20, 12, , 2
2015/7/21, 42, 25, 15, , 1
2015/7/22, 53, 36, 15, 1, 1
2015/7/23, 67, 9, 17, , 2
2015/7/24, 64, 21, 11, , 
2015/7/25, 38, 30, 11, 3, 
2015/7/26, 45, 37, 10, 1, 
2015/7/27, 30, 16, 14, 1, 
2015/7/28, 26, 25, , 1, 1
2015/7/29, 27, 26, , , 1
2015/7/30, 47, 22, , 1, 
2015/7/31, 32, 21, , , 
2015/8/1, 16, 26, , 1, 
2015/8/2, 23, 25, , 1, 1
2015/8/3, 41, 18, , 1, 1
2015/8/4, 48, 20, , , 1
2015/8/5, 38, 17, , 1, 1
2015/8/6, 43, 22, , 1, 1
2015/8/7, 58, 25, , 1, 
2015/8/8, 60, 25, , 1, 
2015/8/9, 71, 24, , 1, 
2015/8/10, 102, 24, 14, 2, 
2015/8/11, 83, 29, 11, 1, 
2015/8/12, 76, 23, 8, , 1
2015/8/13, 37, 24, 12, 2, 1
2015/8/14, 62, 31, 10, 1, 
2015/8/15, 65, 37, 5, , 
2015/8/16, 124, 29, 8, , 
2015/8/17, 79, 20, 6, , 
2015/8/18, 29, 12, 6, 1, 
2015/8/19, 25, 19, 10, 1, 3
2015/8/20, 63, 21, 10, , 
2015/8/21, 57, 24, 10, 2, 
2015/8/22, 52, 26, 9, 1, 1
2015/8/23, 67, 27, 9, 1, 
2015/8/24, 72, 30, 10, 1, 2
2015/8/25, 62, 24, 16, 1, 2
2015/8/26, 97, 25, 15, 2, 2
2015/8/27, 97, 22, 11, 1, 2
2015/8/28, 254, 27, 10, , 1
2015/8/29, 66, 25, 13, 2, 2
2015/8/30, 76, 26, 10, 2, 2
2015/8/31, 98, 10, 5, , 2
2015/9/1, 75, 21, 12, 2, 3
2015/9/2, 69, 21, 11, 1, 2
2015/9/3, 50, 26, 11, 1, 2
2015/9/4, 39, 19, 12, 1, 2
2015/9/5, 53, 18, 12, 4, 2
2015/9/6, 37, 24, 7, 1, 2
2015/9/7, 95, 20, 9, , 3
2015/9/8, 47, 16, 11, 2, 4
2015/9/9, 65, 20, 11, 2, 5
2015/9/10, 64, 22, 8, 1, 4
2015/9/11, 65, 16, 15, 9, 5
2015/9/12, 67, 18, 14, 6, 4
2015/9/13, 68, 23, 13, 3, 5
2015/9/14, 98, 23, 11, 1, 3
2015/9/15, 105, 21, 9, 2, 3
2015/9/16, 69, 17, 14, 4, 4
2015/9/17, 71, 18, 15, 5, 4
2015/9/18, 107, 10, 10, 1, 4
2015/9/19, 79, 14, 18, 2, 5
2015/9/20, 97, 23, 10, , 4
2015/9/21, 33, 17, 11, , 4
2015/9/22, 32, 20, 9, 1, 4
2015/9/23, 53, 15, 7, , 3
2015/9/24, 26, 16, 10, 1, 6
2015/9/25, 43, 11, 12, 2, 7
2015/9/26, 63, 15, 12, 2, 7
2015/9/27, 65, 16, 17, 2, 8
2015/9/28, 91, 15, 13, 4, 6
2015/9/29, 99, 19, 12, 4, 7
2015/9/30, 28, 23, 13, 4, 7
2015/4/1, 115, , 20, 11, 10
2015/4/2, 102, , 15, 9, 12
2015/4/3, 71, , 14, 8, 35
2015/4/4, 79, , 14, 10, 39
2015/4/5, 57, , 17, 8, 22
2015/4/6, 73, , 20, 9, 22
2015/4/7, 83, , 21, 8, 19
2015/4/8, 83, , 22, 10, 17
2015/4/9, 103, , 19, 10, 9
2015/4/10, 104, , 12, 5, 16
2015/4/11, 77, , 17, 9, 16
2015/4/12, 89, , 29, 19, 14
2015/4/13, 160, , 21, 11, 58
2015/4/14, 523, , 12, 6, 37
2015/4/15, 172, , 18, 10, 16
2015/4/16, 91, , 19, 9, 19
2015/4/17, 123, , 12, 5, 24
2015/4/18, 59, , 15, 6, 16
2015/4/19, 82, 8, 17, 6, 18
2015/4/20, 119, 9, 14, 7, 29
2015/4/21, 96, 10, 15, 8, 6
2015/4/22, 168, 9, 17, 7, 2
2015/4/23, 99, 9, 21, 10, 1
2015/4/24, 122, 7, 22, 9, 
2015/4/25, 125, 10, 16, 6, 
2015/4/26, 219, 7, 25, 17, 
2015/4/27, 98, 8, 18, 8, 
2015/4/28, 123, 7, 13, 9, 
2015/4/29, 101, 7, 15, 5, 
2015/4/30, 57, 9, 18, 4, 
2015/5/1, 45, 10, 13, 3, 
2015/5/2, 65, 9, 15, 3, 3
2015/5/3, 59, 9, 13, 3, 1
2015/5/4, 90, 8, 11, 2, 
2015/5/5, 66, 7, 9, 3, 
2015/5/6, 72, 6, 11, 4, 2
2015/5/7, 84, 7, 13, 4, 
2015/5/8, 79, 7, 11, 3, 
2015/5/9, 87, 8, 10, 3, 
2015/5/10, 43, 10, 18, 5, 
2015/5/11, 114, 8, 21, 11, 
2015/5/12, 209, 9, 12, 2, 
2015/5/13, 158, 8, 10, 2, 
2015/5/14, 95, 8, 20, 10, 
2015/5/15, 112, 9, 21, 8, 
2015/5/16, 109, 9, 13, 3, 
2015/5/17, 148, 7, 10, 2, 
2015/5/18, 97, 29, 13, 4, 2
2015/5/19, 86, 30, 18, 7, 
2015/5/20, 127, 30, 18, 6, 
2015/5/21, 173, 30, 17, 5, 1
2015/5/22, 125, 32, 16, 6, 
2015/5/23, 74, 29, 15, 5, 30
2015/5/24, 99, 27, 15, 4, 27
2015/5/25, 63, 30, 15, 6, 26
2015/5/26, 49, 23, 16, 7, 26
2015/5/27, 41, 27, 13, 3, 27
2015/5/28, 34, 22, 18, 6, 32
2015/5/29, 63, 38, 12, 2, 22
2015/5/30, 106, 22, 12, 3, 27
2015/5/31, 39, 24, 11, 1, 27
2015/6/1, 31, 26, 14, 5, 30
2015/6/2, 53, 23, 17, 4, 27
2015/6/3, 72, 23, 15, 5, 26
2015/6/4, 48, 17, 13, 2, 26
2015/6/5, 30, 22, 16, 2, 36
2015/6/6, 57, 21, 14, 2, 27
2015/6/7, 54, 17, 14, 2, 24
2015/6/8, 36, 11, 15, 2, 25
2015/6/9, 39, 19, 16, 2, 25
2015/6/10, 57, 21, 15, 2, 24
2015/6/11, 81, 16, 13, 2, 22
2015/6/12, 52, 27, 15, 3, 21
2015/6/13, 53, 32, 17, 6, 21
2015/6/14, 80, 26, 18, 6, 14
2015/6/15, 82, 19, 15, 3, 
2015/6/16, 77, 27, 15, 4, 
2015/6/17, 73, 14, 17, 3, 
2015/6/18, 103, , , , 
2015/6/22, 98, 18, 12, 1, 1
2015/6/23, 48, 29, 12, 1, 1
2015/6/24, 50, 33, 14, 5, 1
2015/6/25, 68, 24, 15, 1, 2
2015/6/26, 220, 24, 10, 1, 1
2015/6/27, 37, 22, 12, , 
2015/6/28, 52, 27, 12, 4, 25
2015/6/29, 60, 22, 11, 1, 19
2015/6/30, 99, 7, 15, 2, 20
2015/1/4, 84, 2, 18, 19, 3
2015/1/5, 120, , , , 
2015/1/11, 397, 1, 32, 58, 49
2015/1/12, 536, , , , 
2015/1/18, 192, , 32, 36, 1
2015/1/19, 224, , , , 
2015/1/25, 85, 1, 22, 26, 12
2015/1/26, 132, , , , 
2015/2/1, 150, , 31, 43, 16
2015/2/2, 272, 2, 30, 38, 6
2015/2/3, 183, 3, 32, 35, 16
2015/2/4, 288, 2, 36, 33, 11
2015/2/5, 258, 3, 31, 32, 52
2015/2/6, 449, , , , 
2015/2/8, 371, 1, 40, 48, 17
2015/2/9, 429, 2, 37, 42, 10
2015/2/10, 293, 2, 33, 34, 10
2015/2/11, 233, 3, 33, 33, 8
2015/2/12, 266, 1, 39, 39, 7
2015/2/13, 309, 3, 29, 37, 10
2015/2/14, 229, 4, 24, 19, 11
2015/2/15, 86, 2, 32, 26, 6
2015/2/16, 144, 2, 33, 27, 4
2015/2/17, 190, 2, 34, 29, 28
2015/2/18, 333, 3, 30, 33, 14
2015/2/19, 218, 4, 21, 18, 11
2015/2/20, 200, 4, 13, 13, 
2015/2/21, 118, 3, 24, 26, 4
2015/2/22, 144, 4, 23, 23, 3
2015/2/23, 168, 4, 25, 30, 20
2015/2/24, 300, 4, 23, 25, 8
2015/2/25, 173, 3, 21, 18, 2
2015/2/26, 128, 3, 14, 12, 
2015/2/27, 86, , , , 
2015/3/1, 155, 4, 15, 15, 1
2015/3/2, 249, 3, 23, 25, 6
2015/3/3, 186, 2, 25, 27, 4
2015/3/4, 151, 3, 24, 23, 3
2015/3/5, 163, 3, 23, 22, 1
2015/3/6, 114, 3, 16, 14, 
2015/3/7, 96, 3, 16, 22, 2
2015/3/8, 131, 4, 19, 19, 5
2015/3/9, 130, 3, 25, 26, 10
2015/3/10, 177, 3, 23, 24, 14
2015/3/11, 150, 4, 22, 26, 14
2015/3/12, 185, 4, 21, 26, 7
2015/3/13, 105, 4, 18, 12, 6
2015/3/14, 76, 3, 25, 15, 7
2015/3/15, 105, 3, 24, 14, 7
2015/3/16, 96, 2, 27, 18, 10
2015/3/17, 126, 3, 24, 20, 7
2015/3/18, 117, 3, 21, 17, 5
2015/3/19, 105, 3, 20, 16, 5
2015/3/20, 112, 3, 18, 16, 12
2015/3/21, 112, 3, 19, 17, 4
2015/3/22, 112, 2, 23, 20, 3
2015/3/23, 117, , 27, 21, 15
2015/3/24, 166, , 26, 21, 7
2015/3/25, 181, , 30, 31, 4
2015/3/26, 189, , 27, 16, 4
2015/3/27, 71, , 23, 11, 4
2015/3/28, 69, , 20, 12, 4
2015/3/29, 65, , 16, 7, 13
2015/3/30, 45, , 23, 20, 13
2015/3/31, 89, , 22, 9, 13
2014/10/20, 281, 2, 29, , 12
2014/10/21, 228, 2, 31, , 11
2014/10/22, 229, 2, 31, , 7
2014/10/23, 154, 3, 28, 1, 9
2014/10/24, 183, 4, 23, , 6
2014/10/25, 133, 5, 18, , 2
2014/10/26, 108, 5, 15, 1, 1
2014/10/27, 108, 3, 22, 2, 5
2014/10/28, 170, 27, 17, 4, 2
2014/10/29, 102, 6, 21, 3, 5
2014/10/30, 94, 4, 18, 7, 5
2014/10/31, 113, 4, 17, 7, 7
2014/11/1, 161, 3, 22, 9, 8
2014/11/2, 160, 1, 29, 11, 9
2014/11/3, 191, 3, 23, 7, 5
2014/11/4, 165, 4, 20, 7, 6
2014/11/5, 131, 2, 23, 11, 9
2014/11/6, 163, 1, 26, 12, 11
2014/11/7, 204, 1, 30, 16, 15
2014/11/8, 240, 1, 29, 19, 26
2014/11/9, 280, 2, 13, 7, 8
2014/11/10, 174, 6, 13, 6, 8
2014/11/11, 386, 4, 20, 12, 12
2014/11/12, 149, 9, 28, 14, 19
2014/11/13, 208, 1, 28, 18, 19
2014/11/14, 205, 1, 28, 13, 20
2014/11/15, 186, 1, 24, 16, 16
2014/11/16, 144, 1, 29, 19, 27
2014/11/17, 263, 1, 32, 19, 32
2014/11/18, 304, 1, 23, 19, 21
2014/11/19, 281, 2, 19, 13, 10
2014/11/20, 126, 3, 22, 10, 14
2014/11/21, 174, 1, 26, 18, 21
2014/11/22, 201, 2, 24, 16, 18
2014/11/23, 165, 2, 23, 19, 22
2014/11/24, 218, 2, 23, 22, 21
2014/11/25, 313, 4, 15, 10, 6
2014/11/26, 594, 1, 23, 18, 18
2014/11/27, 250, 1, 29, 22, 21
2014/11/28, 355, 3, 25, 25, 25
2014/11/29, 336, 3, 13, 11, 5
2014/11/30, 230, 2, 21, 23, 13
2014/12/1, 174, 1, 26, 29, 18
2014/12/2, 313, 2, 32, 39, 38
2014/12/3, 557, 1, 28, 29, 16
2014/12/4, 234, 1, 31, 35, 28
2014/12/5, 383, 1, 24, 29, 16
2014/12/6, 313, 1, 28, 27, 17
2014/12/7, 256, 1, 28, 32, 25
2014/12/8, 344, 2, 20, 22, 6
2014/12/9, 120, 2, 21, 17, 8
2014/12/10, 114, 2, 23, 21, 11
2014/12/11, 140, 2, 22, 22, 11
2014/12/12, 154, , 31, 30, 21
2014/12/13, 296, 2, 20, 27, 9
2014/12/14, 143, 2, 23, 29, 12
2014/12/15, 219, 1, 26, 34, 15
2014/12/16, 206, 1, 35, 29, 22
2014/12/17, 272, 1, 25, 25, 21
2014/12/18, 197, 2, 24, 19, 11
2014/12/19, 190, 1, 21, 24, 10
2014/12/20, 180, , , , 
2024/8/1, , 3, 3, 1, 3
2024/8/2, , 9, 7, 1, 4
2024/8/3, , 19, 6, 3, 2
2024/8/4, , 17, 6, 3, 2
2024/8/5, , 19, 5, 4, 2
2024/8/6, , 22, 7, 3, 4
2024/8/7, , 22, 3, 2, 4
2024/7/25, , 7, 6, 2, 5
2024/7/26, , 12, 6, , 4
2024/7/27, , 11, 3, 2, 4
2024/7/28, , 27, 3, 6, 2
2024/7/29, , 21, 4, 8, 3
2024/7/30, , 11, 4, 5, 4
2024/7/31, , 4, 5, 2, 4
2024/6/23, , 19, 1, 3, 3
2023/10/1, , 13, 15, 4, 8
2023/10/2, , 15, 12, 3, 9
2023/7/12, , 25, 4, , 4
2023/7/15, , 23, 4, , 4
2023/9/7, , 25, 7, 1, 3
2023/9/8, , 28, 4, 1, 2
2023/9/9, , 22, 5, 1, 2
2023/9/10, , 19, 9, 1, 4
2023/6/17, , 58, 3, 1, 4
2023/6/18, , 58, 4, 1, 4
2023/6/19, , 57, 4, 3, 4
2023/6/20, , 55, 5, 2, 5
2023/6/21, , 72, 3, 2, 3
2023/6/22, , 44, 4, 1, 5
2023/6/23, , 31, 6, 2, 4
2023/6/24, , 75, 2, 1, 3
2023/6/25, , 70, 3, 1, 6
2023/6/26, , 42, 7, 1, 4
2023/6/27, , 44, 11, 1, 3
2023/6/28, , 56, 9, 3, 4
2023/1/22, , 21, 18, 19, 9
2022/8/9, , 22, , 1, 1
2022/4/13, , 31, , 10, 16
2022/6/29, , 29, , , 3
2022/3/12, , 7, , 7, 
2021/10/9, , 7, , 3, 
2021/5/22, , 17, 9, 4, 
2021/3/24, , 22, 5, 13, 
2021/3/25, , 16, 9, 20, 
2021/3/26, , 25, 6, 17, 
2019/12/31, , 1, , 56, 
2020/2/16, , 4, , 38, 
2020/2/17, , 4, , 30, 
2020/2/18, , 8, , 23, 
2020/2/19, , 16, , 12, 
2020/2/20, , 13, , 10, 
2020/3/28, , 15, , 7, 
2019/11/8, , 6, , 8, 
2018/12/31, , 3, , 34, 21
2019/3/10, , 7, 3, 10, 
2018/7/28, , 2, 5, 2, 1
2018/5/25, , 28, , 5, 3
2018/5/26, , 22, , 1, 3
2018/5/27, , 27, , 3, 4
2017/12/31, , , 30, 37, 33
2018/1/23, , 6, 26, 25, 17
2018/3/26, , 13, 15, 6, 6
2017/7/1, , 125, 12, , 9
2017/7/21, , 13, 7, , 4
2017/9/10, , 16, 9, 3, 1
2017/6/3, , 32, 8, 4, 2
2017/6/7, , 25, 14, 4, 3
2017/3/11, , 17, 20, 18, 16
2016/6/15, , 20, 12, 1, 5
2016/1/17, , 1, 37, 56, 
2015/11/1, , 3, 33, , 23
2015/11/14, , 11, 14, , 
2016/1/2, , 4, 22, 36, 
2015/7/4, , 21, , 1, 17
2015/6/21, , 18, 16, 2, 
2015/1/3, , , 19, 22, 2
2015/1/10, , 1, 32, 49, 11
2015/1/17, , 2, 31, 33, 1
2015/1/24, , 4, 16, 14, 3
2015/1/31, , 2, 26, 33, 12
2015/2/7, , 2, 34, 42, 15
2015/2/28, , 2, 28, 28, 
2020/9/8, , , 6, 1, 
2018/3/23, , , 18, 17, 5
2018/3/24, , , 14, 9, 6
2018/3/25, , , 16, 5, 8
2014/10/19, , , 32, , 17
